,Note that Apple returns only start in 1981!,,,,,,,,,
,,,,,,,,,,
,,,CAPM factor,incl. in FF3,incl. in FF3,incl. in FF5,incl. in FF5,,,
Month,AAPL return,RF,Mkt-RF,SMB,HML,RMW,CMA,,,
199810,-2.62,0.32,7.13,-3.51,-2.2,0.71,0.27,,,
199811,-13.97,0.31,6.1,0.66,-3.14,-1.01,-1.14,,,
199812,28.18,0.38,6.16,-1.54,-4.46,-0.94,-3.35,,,
199901,0.61,0.35,3.5,-0.76,-4.03,-2.67,-6.88,,,
199902,-15.48,0.35,-4.08,-5.08,1.4,-1.16,4.09,,,
199903,3.23,0.43,3.45,-4.32,-2.64,-4.28,-1.38,,,
199904,28.00,0.37,4.33,4.63,2.51,-2.62,0.93,,,
199905,-4.21,0.34,-2.46,3.72,2.4,1,3.34,,,
199906,5.11,0.4,4.77,2.28,-3.59,1.41,-3.39,,,
199907,20.24,0.38,-3.47,2.51,-0.77,0.45,3.09,,,
199908,17.17,0.39,-1.38,-1.93,-1.31,-0.26,0.32,,,
199909,-2.97,0.39,-2.81,2.57,-3.39,-0.8,-1.04,,,
199910,26.55,0.39,6.13,-7.12,-2.88,-1.96,-1.27,,,
199911,22.15,0.36,3.37,5.87,-6.5,-4.29,-1.56,,,
199912,5.04,0.44,7.72,5.52,-8.67,-7.72,-5.15,,,
200001,0.91,0.41,-4.74,4.18,-0.31,-5.57,4.68,,,
200002,10.48,0.43,2.45,18.27,-9.94,-18.72,-0.52,,,
200003,18.48,0.47,5.2,-14.85,7.37,12.11,-1.05,,,
200004,-8.65,0.46,-6.4,-5.6,8.6,7.29,5.24,,,
200005,-32.29,0.5,-4.42,-3.68,2.56,4.63,0.73,,,
200006,24.70,0.4,4.64,10.31,-9.86,-7.58,-3.06,,,
200007,-2.98,0.48,-2.51,-0.93,8.14,6.27,3,,,
200008,19.93,0.5,7.03,-1.11,-0.68,-3.14,0.61,,,
200009,-57.74,0.51,-5.45,0.23,6.24,3.22,6.38,,,
200010,-24.03,0.56,-2.76,-2.76,5.52,9.8,4.7,,,
200011,-15.65,0.51,-10.72,-0.39,11.3,13.51,8.51,,,
200012,-9.85,0.5,1.19,3.17,7.33,1.96,5.71,,,
200101,45.38,0.54,3.13,5.73,-4.9,-4.91,-6.54,,,
200102,-15.61,0.38,-10.05,2.73,12.9,9.49,9.58,,,
200103,20.93,0.42,-7.26,2.35,6.45,3.47,3.95,,,
200104,15.50,0.39,7.94,-0.68,-4.69,-2.98,-3.97,,,
200105,-21.73,0.32,0.72,3.6,3.14,0.28,2.19,,,
200106,16.54,0.28,-1.94,6.59,-1.06,1.64,-1.8,,,
200107,-19.18,0.3,-2.13,-2.84,5.58,7.45,3,,,
200108,-1.28,0.31,-6.46,2.73,2.5,3.86,6.5,,,
200109,-16.39,0.28,-9.25,-5.58,1.6,5.44,3.28,,,
200110,13.22,0.22,2.46,5.37,-8.1,-2.95,-4.6,,,
200111,21.30,0.17,7.54,-0.36,2,-3.93,-1.66,,,
200112,2.82,0.15,1.61,5.13,1.1,0.42,-0.32,,,
200201,12.88,0.14,-1.44,1.2,3.33,4.29,2.84,,,
200202,-12.22,0.13,-2.29,-0.42,2.5,7.78,5.14,,,
